link,headline,category,short_description,authors,date
https://www.huffingtonpost.com/entry/serena-williams-black-women-childbirth_us_5a5e0266e4b0fcbc3a137a7c,Serena Williams Writes About The Reality Many Black Mothers Face When Giving Birth,PARENTS,She shared a cute video of her daughter while discussing the serious topic.,Carly Ledbetter,2018-01-16
https://www.huffingtonpost.com/entry/wife-vanishes-cruise_us_58b14326e4b0780bac29b996,Tech Consultant Arrested For Murder After Wife Vanishes During Cruise,CRIME,Maritime authorities alerted police after noticing the mom was missing during a head count of disembarking passengers.,Mary Papenfuss,2017-02-25
https://www.huffingtonpost.com/entry/once-paralyzed-singer-makes-katy-perry-weep-on-american-idol_us_5aa7b62ae4b009b705d60d2d,Once-Paralyzed Singer Makes Katy Perry Weep On 'American Idol',ENTERTAINMENT,"""I'm losing it,"" she said.",Ron Dicker,2018-03-13
https://www.huffingtonpost.com/entry/mindfulness-practice_us_5b9dd2e4e4b03a1dcc8d575a,Connect to Something Greater Than Yourself,WELLNESS,"Identifying these purposes requires some deep thought and maybe even some soul-searching. The power that real purpose brings to any effort makes it all worthwhile. So take the time to identify how you connect with something greater than yourself, and prepare for the power you will wield when you tap into that intention.","meQuilibrium, Contributor
Personalized Stress Management",2014-01-30
https://www.huffingtonpost.com/entry/local-housing-markets_us_5bb2b629e4b0480ca65a2a20,Local Construction Winners and Losers,BUSINESS,"Confidence among builders jumped this month to the highest level in four years, and construction jobs are on the rise too. But housing markets are local. In some cities you hear the sweet sounds of hammers and backhoes, but others cities are silent.","Jed Kolko, Contributor
Chief Economist, Trulia",2012-02-18
https://www.huffingtonpost.com/entry/london-olympics_us_5bb354d7e4b0fa920b968b2d,"London Olympics Attendees Asked To Knock Off Tweeting, Texting -- It's Hurting TV",TECH,"The IOC spokesman said it appeared the problem lay with oversubscription on one particular network, and talks had taken place","Reuters, Reuters",2012-07-29
https://www.huffingtonpost.com/entry/go-for-gold_us_5b9de72ee4b03a1dcc8e6a10,Go for Gold!,WELLNESS,"Just think, if no one ever told you that you couldn't do something wouldn't you be less likely to doubt yourself  -- if you doubted yourself at all? Never ever ever be the one to doubt yourself.  Never.","Deborah Carberry, Contributor
Wife, Mom,Daughter,Sister, Aunt and Realtor",2014-02-28
https://www.huffingtonpost.com/entry/anna-kendrick-anna-kournikova-photo-mistake_us_5a5f6a39e4b00a7f171c94a4,"Anna Kendrick Was Mistaken For Anna Kournikova, And She Didn't Hate It",ENTERTAINMENT,But she did have one priceless request to seal the deal.,Abigail Williams,2018-01-17
https://www.huffingtonpost.com/entry/sunscreen-safety_us_5b9cf1f9e4b03a1dcc832930,Is Your Sunscreen Safe?,WELLNESS,"In light of the recent reports about nanoparticles in sunscreen, I decided that it is time to revisit one of my favorite topics: safe sunscreen.","Hillary Peterson, Contributor
Founder of True Botanicals",2013-04-02
https://www.huffingtonpost.com/entry/offshore-drilling-republicans_us_5a5686e8e4b03bc4d03dc035,"Coastal Republicans Say States, Not Just Trump, Should Get Say On Offshore Drilling",POLITICS,"“I don’t mind opening up drilling if states can opt out,"" Sen. Lindsey Graham (R-S.C.) said.",Igor Bobic and Chris D'Angelo,2018-01-10
https://www.huffingtonpost.com/entry/mad-men-cocktail-party_us_5b9b7d15e4b03a1dcc780461,"In Honor Of 'Mad Men' Season Five, Here's A 60s Cocktail Party Plan",HOME & LIVING,"It's been more than a year since we last saw the likes of Don Draper -- and if you ask us, that's a year too long. Thankfully",Kathryn Kattalia,2012-03-24
https://www.huffingtonpost.com/entry/todays-buddha-doodle---sp_b_5673479.html,Today's Buddha Doodle - Speak it!,GOOD NEWS,,"Molly Hahn, ContributorCartoonist, Children's Illustrator/Author",2014-08-13
https://www.huffingtonpost.com/entry/rihanna-is-a-triple-threat-on-three-different-covers-of-vogue-paris_us_5a142991e4b0bfa88c1cf1d1,Rihanna Is A Triple Threat On 3 Different Covers Of Vogue Paris,STYLE,Put her on EVERY magazine cover.,Carly Ledbetter,2017-11-21
https://www.huffingtonpost.com/entry/inspirational-quotes_us_5b9cf1a7e4b03a1dcc83260c,Day 19: 31 Days of Daily Inspiration From Brilliant Women,WELLNESS,"Self-pity is seductive, wrapping its soft arms around you until you fall asleep, and you must be strong against it. If you sink into this particular feather mattress for too long, you may never wake up.","Menna van Praag, Contributor
Bestselling author of Men, Money & Chocolate.",2013-03-19
https://www.huffingtonpost.com/entry/the-fall-of-the-would-be_b_6193116.html,The Fall of the Would-Be Emperor,WORLDPOST,"Turkey has the potential of becoming a significant global power, but to realize that, Erdogan must change course or leave. His arrogance, though, and self-styled piousness will prevent him from doing either and deny Turkey its deserving place to play a constructive role on the global stage.","Alon Ben-Meir, ContributorSenior Fellow, Center for Global Affairs, NYU",2014-11-20
https://www.huffingtonpost.com/entry/why-we-should-care-about-_1_b_5883278.html,Why We Should Care About Boys and Young Men of Color,EDUCATION,"My Brother's Keeper is not simply an effort to improve the condition for racial and ethnic minority communities, it is an endeavor of considerable national consequence with a capacity to improve all communities, for all of us.","Tyrone C. Howard, ContributorTeacher and scholar whose work focuses on issues of race, dive...",2014-09-25
https://www.huffingtonpost.com/entry/identifying-3-types-of-ne_b_5749052.html,3 Types Of Negativity That Block Success,HEALTHY LIVING,"When we feel inadequate, it can be a lot easier to tear someone else down to our level than to acknowledge our own insecurities and figure out how to move forward.","Lisa Abeyta, ContributorFounder/CEO, APPCityLife Inc. &  Cofounder, Hautepreneurs and ...",2014-09-07
https://www.huffingtonpost.com/entry/childbirth_us_5b9c723ce4b03a1dcc7eb415,10 Years Ago: A Lifetime and an Instant,PARENTING,"My daughter turns 10 this week. I'm swimming in a sea of memories of this week ten whole years ago, a week that commenced a season that changed everything for me.","Lindsey Mead, Contributor
Writer, A Design So Vast",2012-10-25
https://www.huffingtonpost.com/entry/voter-fraud-executive-order-trumps-fraud-on-democracy_us_59149a39e4b016248243f28a,‘Voter Fraud’ Executive Order: Trump’s Fraud On Democracy,POLITICS,"Horrifying, disgusting and shameful. Those are the words that come to mind for President Donald Trump’s transparent attempt","Robert Weissman, ContributorPresident of Public Citizen",2017-05-11
https://www.huffingtonpost.com/entry/5-signs-its-finally-time-_b_7358390.html,5 Signs It's Finally Time to Start Your Own Business,BUSINESS,"Maybe you have a good idea. Maybe you have a handful of potential partners. Maybe you keep finding yourself daydreaming about the potential of owning your own business. Whatever the case, entrepreneurship is calling you, and you aren't sure whether you should keep plugging away in your safer, more stable lifestyle, or risk it all for a chance at something great.","Jose Vasquez, ContributorPresident and CEO, QuezMedia.com",2015-05-28
https://www.huffingtonpost.com/entry/gwen-stefani-gavin-rossdale-home_us_5b9cf8eae4b03a1dcc836750,"Gwen Stefani and Gavin Rossdale's Former Los Angeles Home Is For Sale, And It's As Cool As They Are (PHOTO)",HOME & LIVING,Gorgeous babies not included.,Michelle Manetti,2013-03-26
https://www.huffingtonpost.com/entry/bruno-mars-prince-tribute-grammys_us_58a0f214e4b0ab2d2b164e7b,Bruno Mars And The Time Rock Out To Prince Medley During Grammy Tribute,ENTERTAINMENT,They went crazy.,Matthew Jacobs,2017-02-13
https://www.huffingtonpost.com/entry/life-lessons_us_5b9df3c6e4b03a1dcc8f690e,5 New Directions When You Feel Lost,WELLNESS,Your intuition ultimately sends you down the correct path. Do not think of it as being lost. Think of it as a temporary pause on your journey during which you should follow nothing but your heart's desire.,"Alexandra Harra, Contributor
Alexandra Harra is a best-selling author, professional writer,...",2014-04-01
https://www.huffingtonpost.com/entry/kardashian-kollection-ad_us_5b9b723fe4b03a1dcc779ab8,Kardashian Kollection Ad Features Some Uber Bronzed Kardashian Sisters (PHOTO),STYLE & BEAUTY,"As a reminder that their Sears collection is still around, the Kardashian sisters got together and posed for another Kardashian",Ellie Krupnick,2012-03-13
https://www.huffingtonpost.com/entry/rope-braid-hairstyle-how-to_us_5b9c7ae0e4b03a1dcc7f0d37,Rope Braids: A Braided Hairstyle Even Amateurs Can Ace (VIDEO),STYLE & BEAUTY,All it takes is just two simple twists.,Dana Oliver,2012-11-07
https://www.huffingtonpost.com/entry/women-dominate-turner-prize-2016-shortlist_us_5734cfa6e4b08f96c1827f4f,Women Dominate Turner Prize 2016 Shortlist,ARTS & CULTURE,"The nominees include Anthea Hamilton, Helen Marten and Josephine Pryde.","Lorena Muñoz-Alonso, artnet News",2016-05-12
https://www.huffingtonpost.com/entry/brolsters-mens-accessory-trend_us_5b9c7cd8e4b03a1dcc7f1c3f,The Straight Nope: Brolsters,STYLE & BEAUTY,Or man-holsters? Holstims? What the eff are these things called? Does it matter? Have these made it out of Southern California yet? Words fail me to truly describe how dumb these are.,"Steven Nereo, Contributor
thinker and writer",2012-11-09
https://www.huffingtonpost.com/entry/learning-from-the-masters_b_7061948.html,Learning From the Masters,SPORTS,"Jordan Spieth was the runaway winner of the tournament, reminding me that there's much to learn from a weekend of golf. Here are the top five-and-a-half takeaways from a record-breaking Augusta weekend:","Jack Stahlmann, ContributorDon't Flinch Guy: Writer, Keynote Speaker and Expert on Making...",2015-04-14
https://www.huffingtonpost.com/entry/syrian-breakfast-is-amazing_us_5899e3ace4b09bd304bd8ad4,Brunch Has Got Nothing On Traditional Syrian Breakfast,TASTE,"The spread is amazing, and the time spent enjoying it is even better.",Julie R. Thomson,2017-02-09
https://www.huffpost.com/entry/sweden-election-far-right-liberals_n_5b92c5f1e4b0511db3e210b4,Sweden Is What Happens When Liberals Let The Far-Right Set The Agenda,WORLD NEWS,The country's left-wing Social Democrats just saw their worst election result in generations.,Nick Robins-Early,2018-09-10
https://www.huffingtonpost.com/entry/kanye-west-kim-kardashian-justin-bieber_n_5643970.html,"This Photo Of Kanye, Kim & Bieber Is Peak Celebrity",ENTERTAINMENT,,Christopher Rosen,2014-08-02
https://www.huffingtonpost.com/entry/us-hostage-afghan-taliban-video_us_58767fcde4b092a6cae4af63,American And Australian Hostages Shown In New Video Released By Taliban,THE WORLDPOST,The two captive men are shown pleading with the U.S. government to negotiate their release.,"James Mackenzie, Reuters",2017-01-11
https://www.huffingtonpost.com/entry/aspirin-skin-cancer-nsaid-ibuprofen_us_5b9bc4b7e4b03a1dcc7a322b,Aspirin Linked With Lower Skin Cancer Risk,WELLNESS,"She wrote: ""The mechanism of action is not totally clear, but it's thought to be due to their anti-inflammatory effects,"" Dr",Amanda L. Chan,2012-05-29
https://www.huffingtonpost.com/entry/canadian-investors-are-lo_b_5517436.html,Canadian Investors Are (Mostly) Losers,BUSINESS,"Clearly, there are some things about the way Canadians live their lives that would be helpful for us to emulate. Unfortunately, investing is not one of them.","Dan Solin, ContributorAuthor of the Smartest series of books",2014-06-24
https://www.huffingtonpost.com/entry/virgin-america-hawaii-flights_us_56393eafe4b0411d306ec80c,Virgin America's New Flight Route Is A Match Made In Travel Heaven,TRAVEL,Finally! 🙌,Landess Kearns,2015-11-04
https://www.huffingtonpost.com/entry/gay-pride-2017_us_59512d9ae4b02734df2c17ba,How Landmarks Around The World Got All Dressed Up For Pride,TRAVEL,It's lit. 🌈 🌈 🌈 🌈 🌈 🌈,Jamie Feldman,2017-06-26
https://www.huffingtonpost.com/entry/dare-to-be-100-an-importa_us_5b9de273e4b03a1dcc8e29a0,"Dare to Be 100: An Important, Ugly and Rare Word",WELLNESS,A minute's reflection reveals that such a relationship must be. If one or another of the separate functions were not participating,"Walter M Bortz II MD, Contributor
Clinical Professor of Medicine, Stanford University",2014-02-23
https://www.huffingtonpost.com/entry/mindfulness-practice_us_5b9ddb72e4b03a1dcc8dcc2a,The Top 5 Excuses for Not Practicing Mindfulness and How You Can Do It Anyway,WELLNESS,"Over the years, I found that I expanded these bite size mindfulness exercises into full-blown practices in my own life. Now I sit and meditate every morning, and try to approach life in a more mindful way.","Karen Siff Exkorn, Contributor
Best-selling Author/Speech & Media Coach/Playwright",2014-02-22
https://www.huffingtonpost.com/entry/best-restaurants_us_5b9cd86ee4b03a1dcc825d90,The Best Restaurants Make You Feel Loved,FOOD & DRINK,"We always think that food is the most important, but how you are treated, before, during and after you eat that food, plays a huge role in how the meal is enjoyed.","Anne Maxfield, Contributor
Founder",2013-02-22
https://www.huffingtonpost.com/entry/paul-ryan-paris-terrorist-attacks-act-of-war_us_564b48e6e4b045bf3df0cf72,Paul Ryan: Paris Terrorist Attacks Were An 'Act Of War',POLITICS,"""What else do you call what [ISIS] did in Paris?""",Matt Fuller,2015-11-17
https://www.huffingtonpost.com/entry/grandmas-halloween-display-shows-the-horrors-of-americas-racism_us_57f7c072e4b0e655eab3acd5,Grandma's Halloween Display Shows The Horrors Of America's Racism,BLACK VOICES,"From police brutality to Flint's water crisis, the display highlights several social injustices.",Zeba Blay,2016-10-07
https://www.huffingtonpost.com/entry/disney-star-wars-avatar_us_589b3c82e4b09bd304bf0a81,Disney Reveals When You Can Finally Visit The New 'Star Wars' And 'Avatar' Lands,TRAVEL,The force will awaken at Disneyland and Disney World in 2019.,Hayley Miller,2017-02-08
https://www.huffingtonpost.com/entry/self-improvement_us_5b9cb444e4b03a1dcc810aef,What Does Your Body Reflect About You?,WELLNESS,"I enjoy a good tarot card or personality test reading every now and again. I am not offended by the notion that I could learn more about myself through a new lens. But years ago, when my life coach suggested my body was also a ""reading,"" I was taken aback.","Lauren Handel Zander, Contributor
Life coach, university lecturer, public speaker, and the Co-Fo...",2013-01-13
https://www.huffingtonpost.com/entry/with-love-we-will-resist_us_587d2ce9e4b042b0eacbe191,"With LOVE, We Will RESIST",BLACK VOICES,We see Beloved Community in the leadership of the Standing Rock Sioux and so many others who have come before them and will,"Jacqueline Patterson, ContributorDirector, NAACP Environmental and Climate Justice Program; Co-...",2017-01-16
https://www.huffingtonpost.com/entry/jessica-chastain-alexander-mcqueen_us_5b9b5097e4b03a1dcc7691bd,Jessica Chastain In Alexander McQueen: Look Of The Day (PHOTOS),STYLE & BEAUTY,WHAT: Not only has the stunning actress been nominated for an Oscar but she's also been at the top of our best dressed lists,Brooke Bobb,2012-02-14
https://www.huffingtonpost.com/entry/creative-process_us_5b9ba620e4b03a1dcc794ef7,Are You Trading Now for Then?,WELLNESS,"The anxiety of indecision and indecision of anxiety is far more cumbersome to your spirit than the process of revising, reworking, and rebuilding.","Ben Michaelis, Ph.D., Contributor
Clinical psychologist; Author, 'Your Next Big Thing: 10 Small ...",2012-05-04
https://www.huffingtonpost.com/entry/sherry-chen-scientist-not-spying_us_5ae3465fe4b055fd7fcb9168,Chinese-American Scientist Who Was Wrongly Accused Of Spying Gets Job Back,POLITICS,Several Asian-American legislators consider the decision a huge victory.,Kimberly Yam,2018-04-27
https://www.huffingtonpost.com/entry/rick-santorum-women-debate_us_5670bd02e4b0688701db81cf,Rick Santorum Doesn’t Think Women Are Capable Of Serving On The Front Lines,POLITICS,This guy.,Julia Craven,2015-12-16
https://www.huffingtonpost.com/entry/volkswagen-settlement_us_57b2541fe4b0863b0284715d,Volkswagen Looks To Settle Criminal Probe With Fines Up To $1.2 Billion,BUSINESS,The automaker already agreed to pay $15.3 billion over its emissions scandal.,"David Shepardson and Joel Schectman, Reuters",2016-08-15
https://www.huffingtonpost.com/entry/jeb-bush-benghazi_us_5624ecffe4b08589ef47f89d,"Jeb Bush Tries To Explain Why His Brother Isn't To Blame For 9/11, But Hillary Is For Benghazi",POLITICS,"""Does anybody actually blame my brother for the attacks on 9/11? If they do, they're totally marginalized in our society.""",Amanda Terkel,2015-10-19
https://www.huffingtonpost.com/entry/albuquerque-mayor-richard-berry_us_5679a299e4b0b958f658429e,Here's A Side Of The City From 'Breaking Bad' You've Never Seen Before,TECH,"""We've come an impossibly long way,"" says the mayor.",Alexander Howard,2015-12-28
https://www.huffingtonpost.com/entry/youll-never-believe-whos_us_5b9cfadfe4b03a1dcc837b38,You'll Never Believe Who's Shilling For The TSA,TRAVEL,"Put differently, the entire display was for show. The TSA could have detonated grenades, set up an archery range, even set off a small nuclear weapon -- it would have been just as meaningful. Or meaningless.","Christopher Elliott, Contributor
Author, How to Be the World's Smartest Traveler (and Save Time...",2013-03-29
https://www.huffingtonpost.com/entry/edie-windsor-gay-marriage_n_5459709.html,Edie Windsor Thinks We Can Expect Marriage Equality Across The 50 States By 2024,POLITICS,,Natasha Bach,2014-06-06
https://www.huffingtonpost.com/entry/how-to-be-happy-at-work_us_5b9d6122e4b03a1dcc874578,A Happy Worker Is a Productive Worker,WELLNESS,"People want contentment, love and happiness derived from meaningful work. But with only 24 hours in a day, is it even possible? How can you as a manager, facilitate your employees' happiness and consequently increase your company's success as well as your own?","Marilyn Tam, Contributor
Author, Speaker, Consultant and Executive Business Coach",2013-07-31
https://www.huffingtonpost.com/entry/working-women-tv-movies_us_5b9bd350e4b03a1dcc7a8b1d,Working Women Who Inspire Us With Their Style (PHOTOS),STYLE & BEAUTY,"Last week Republican senators shot down the Paycheck Fairness Act (thanks guys!), a move which would have required employers",Simone Kitchens,2012-06-12
https://www.huffingtonpost.com/entry/ai-weiwei-artist-alcatraz_n_6576728.html,Dissident Chinese Artist Escapes to Alcatraz,WORLDPOST,,Matt Sheehan,2015-03-03
https://www.huffingtonpost.com/entry/fergus-falls-first-85-black-west_us_5badbf6ae4b0bb1705faaf61,Fergus Falls 'First 85' Reunion Celebrates Black Role In How The West Was Won (PHOTOS),BLACK VOICES,"Descendants of the First 85 gathered for a reunion in 2010, a tradition they look forward to carrying on this year and beyond",Jessica Cumberbatch Anderson,2012-08-11
https://www.huffingtonpost.com/entry/shannon-gwash-gps-guide_us_56e1b82be4b0b25c918113f9,Shannon Gwash's GPS Guide On Celebrating Yourself,HEALTHY LIVING,You're awesome.,"GPS Guides, The Huffington Post",2016-03-10
https://www.huffingtonpost.com/entry/dear-gop-why-doesnt-your-president-condemn-white_us_598f8c55e4b063e2ae058036,Dear GOP: Why Doesn't Your President Condemn White Supremacy?,POLITICS,This type of ambiguity is wholly inappropriate as well as dangerous.,"Jack Bristow, ContributorFiction and nonfiction writer",2017-08-13
https://www.huffingtonpost.com/entry/tim-kaine-dad-jokes_us_579970b3e4b0d3568f8601fa,Tim Kaine Just Sparked An Amazing Series Of Dad Jokes On Twitter,POLITICS,A meme is born.,Charlotte Klein,2016-07-28
https://www.huffingtonpost.com/entry/method-in-his-madness_us_5a26dae5e4b069df71fa2477,The Method In His Madness,POLITICS,"Don’t expect the outbursts, the Islamophobic tweets or any  of it to end soon. It rallies the base. It works and he knows it.","Tom Engelhardt, ContributorEditor, TomDispatch.com",2017-12-05
https://www.huffingtonpost.com/entry/mark-zuckerberg-paternity-leave_us_56aa1bf1e4b0d82286d4fe97,Mark Zuckerberg Made A LOT Of Money During His Paternity Leave,TECH,Pretty sweet payout for all that snuggle time.,Emily Peck,2016-01-28
https://www.huffingtonpost.com/entry/brandon-banks-guilty-vanderbilt-rape_us_594dbd53e4b02734df2a8838,Ex-Vanderbilt Football Player Found Guilty In Gang Rape Of Unconscious Student,CRIME,Surveillance footage showed four men carrying the unconscious victim into a dorm room.,Carla Herreria,2017-06-24
https://www.huffingtonpost.com/entry/trumps-accusers-speak-out-and-call-for-accountability_us_5a2ce16ae4b0d7c3f2622389,Trump’s Accusers Speak Out And Call For Accountability,POLITICS,"This morning at 10:30 am EST / 7:30 am PST, Trump’s accusers will share their stories and call for an investigation into","Robert Greenwald, ContributorFounder and President, Brave New Films",2017-12-11
https://www.huffingtonpost.com/entry/anthony-nolan-get-well_us_561d148ae4b0c5a1ce608280,Boy's Heartfelt Note To Injured Cop Thanks Him For Being 'Like A Dad',GOOD NEWS,"The police officer said he was ""fighting tears"" after receiving the note.",Kimberly Yam,2015-10-14
https://www.huffingtonpost.com/entry/have-we-already-solved-th_b_6738904.html,Have We Already Solved the Student Debt Crisis?,COLLEGE,Kevin Carey posits that the market dominance of federal student loans combined with income-driven repayment plans has solved student debt crisis. It's an intriguing and optimistic thesis.,"Equal Justice Works, ContributorWorking to provide public interest opportunities for law stude...",2015-02-25
https://www.huffingtonpost.com/entry/washington-latest-state-to-ban-gay-conversion-therapy_us_5abcf0d3e4b06409775df9eb,Washington Becomes Latest State To Ban Gay 'Conversion Therapy',QUEER VOICES,The new law protects anyone under 18 from the discredited practice.,Sara Boboltz,2018-03-29
https://www.huffingtonpost.com/entry/donald-trump-new-york-nomination_us_5716d505e4b0060ccda4cc83,Donald Trump’s New York Supremacy Doesn’t Guarantee His Nomination,POLITICS,He still needs a lot of delegates.,Natalie Jackson and Ariel Edwards-Levy,2016-04-20
https://www.huffingtonpost.com/entry/a-matter-of-words_b_5654166.html,A Matter of Words,QUEER VOICES,Folks are not familiar with issues around adoption and don't know the correct language to use unless they have been impacted by adoption or educated on the issues. Likewise with the LGBT community.,"Elizabeth Ann Thompson, ContributorWriter/blogger/author/storyteller",2014-08-13
https://www.huffingtonpost.com/entry/conscious-uncoupling-star_us_5b9df352e4b03a1dcc8f5f4a,Conscious Uncoupling Starts With Unconscious Coupling (And I Don't Mean Drunken Hook-Ups),DIVORCE,"The seeds of conscious uncoupling are sown somewhere in unconscious coupling. And, by unconscious coupling, I'm not referring to alcohol-fueled one-nighters. What I do mean is that many of us choose mates who aren't right for us by ignoring our unconscious motivations for doing so.","Abby Rodman, Contributor
Psychotherapist. Amazon #1 Bestselling Author. Wife. Mom. Step...",2014-03-28
https://www.huffingtonpost.com/entry/news-documentary-emmys-nominations-2014_n_5588832.html,Here Are The 2014 Nominees For The News And Documentary Emmys,MEDIA,,Katherine Fung,2014-07-15
https://www.huffingtonpost.com/entry/hugh-hewitt-trench-coats-guns_us_5b03a305e4b07309e05b8d4e,"MSNBC Host Hugh Hewitt Suggests 'Trench Coat' Control, Not Gun Control",POLITICS,"Forget restricting guns as a way to curb school shootings. ""It's a Second Amendment right, not a Second Amendment suggestion.""",Mary Papenfuss,2018-05-22
https://www.huffpost.com/entry/trump-nobel-peace-prize-north-carolina-rally_n_5f66c849c5b6b9795b11d85a,Trump Implies At Rally That He's Already Won The Nobel Peace Prize,POLITICS,"""You love your president and your president gets honored,"" Trump told the crowd in North Carolina.",Mary Papenfuss,2020-09-20
https://www.huffingtonpost.com/entry/grandmas-sing-grammies-ellen_us_5bad30dce4b04234e857d2b4,Grandmas Sing Grammy Nominated Songs On 'Ellen',COMEDY,"For the third year, ""Ellen"" brought back their tradition of celebrating the year's crop of Grammy nominated music by having",Ross Luippold,2014-01-25
https://www.huffingtonpost.com/entry/real-human-people-not-actors_us_58c1a11ee4b0ed71826aed22,The People In This Commercial Are Super Real And Not Actors,COMEDY,NOT actors. Human people.,Andy McDonald,2017-03-09
https://www.huffingtonpost.com/entry/wilco-releases-surprise-new-album-star-wars_us_55a84257e4b0896514d0ef38,Wilco Releases Surprise New Album 'Star Wars',ENTERTAINMENT,Wilco + Cats + Free = AWESOME,Peter Andrew Hart,2015-07-17
https://www.huffingtonpost.com/entry/half-of-parents-keep-kids-leftover-painkillers-at-home_us_573dcb4ce4b0aee7b8e91e3e,A Shocking Number Of Parents Keep Their Kids' Leftover Opioids,HEALTHY LIVING,"""This is a missed opportunity to prevent prescription drug misuse among children.""","Sara G. Miller, Live Science",2016-05-19
https://www.huffingtonpost.com/entry/eddie-lacy-championship-loss_us_55c216bee4b0f7f0bebb054b,Eddie Lacy Doesn't Think About His Team's NFC Championship Loss To Seattle,SPORTS,The Packers running back dishes on his lumberjack experience and why he doesn't watch football.,Jordan Schultz,2015-08-05
https://www.huffingtonpost.com/entry/dad-on-earth_us_59453a74e4b0d188d027fec2,Dad On Earth,PARENTS,"The role of dad comes in all shapes, sizes, and configurations.","Michelle Steinke-Baumgard, ContributorOne Fit Widow",2017-06-17
https://www.huffingtonpost.com/entry/the-year-of-you_us_5b9dccd0e4b03a1dcc8d0cde,The Year of You,STYLE & BEAUTY,"A new year can mean big change, and for my dear friend and client Dr. Samantha Sutton, 2014 looks to be no exception.  As she filled me in on her outlook for the year, we began to discuss the topic on everyone's mind throughout January - the dreaded ""New Years Resolution.""","Yves Durif, Contributor
Celebrity Hair Stylist",2014-01-21
https://www.huffingtonpost.com/entry/workers-health-on-the-chopping-block_us_5956431be4b0326c0a8d0f70,Workers’ Health on the Chopping Block,GREEN,The Trump administration is currently a health threat to the workers Trump promised to save.,"Ronald Bayer, ContributorProfessor and Co-Chair, The Center for the History & Ethics of...",2017-06-30
https://www.huffingtonpost.com/entry/trump-threatens-to-take-us-back-to-the-climate-dark_us_58cbb34de4b0537abd956f9b,Trump Threatens To Take Us Back To The Climate Dark Ages,GREEN,"Whatever happens, it is clear that this White House is an anathema to the planet.","Aiko Stevenson, ContributorFreelance Writer",2017-03-17
